cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
1.0,2.6731657271739095e-05,1.0,1.398498807247961e-05,4.0716640796745196e-05,1.0,1.6577531880557217e-07,1.0,3.59228060631267e-08,1.7666215512690542e-07,1.5625000742147677e-05
1.0,4.3916497816098854e-05,1.0,1.657453140069265e-05,6.04910273978021e-05,1.0,1.62848309059882e-07,1.0,3.573689610902875e-08,1.7409585950645123e-07,1.5625000742147677e-05
1.0,1.8803199054673314e-05,1.0,1.6827218132675625e-05,3.563041900633834e-05,1.0,1.6151784620888066e-07,1.0,3.5399288833559694e-08,1.7230141224899853e-07,7.812500371073838e-06
1.0,0.0001358062436338514,1.0,1.7998276234720834e-05,0.00015380448894575238,1.0,1.6258221080533986e-07,1.0,3.543351922985494e-08,1.7354403780700522e-07,7.812500371073838e-06
1.0,5.253843846730888e-05,1.0,3.639428541646339e-05,8.893271296983585e-05,1.0,1.585908364631905e-07,1.0,3.5372213602613556e-08,1.6989457662930363e-07,7.812500371073838e-06
1.0,2.318339466000907e-05,1.0,9.40701829676982e-06,3.2590414775768295e-05,1.0,1.5539772846295818e-07,1.0,3.5273078680120307e-08,1.6800824198526243e-07,7.812500371073838e-06
1.0,0.00010045146336778998,1.0,1.1535395969985984e-05,0.00011198684660485014,1.0,1.5380116735741467e-07,1.0,3.555672378752206e-08,1.6645407185933436e-07,7.812500371073838e-06
1.0,3.1593710446031764e-05,1.0,1.2814114597858861e-05,4.440782140591182e-05,1.0,1.5326898505918507e-07,1.0,3.5485687277514444e-08,1.6579257078319642e-07,3.906250185536919e-06
1.0,4.468572296900675e-05,1.0,1.563903242640663e-05,6.032475721440278e-05,1.0,1.5273680276095547e-07,1.0,3.5331190417764446e-08,1.6505640587638482e-07,3.906250185536919e-06
1.0,5.41272820555605e-05,1.0,1.616938243387267e-05,7.029664993751794e-05,1.0,1.5140635412080883e-07,1.0,3.527392777868954e-08,1.644002622924745e-07,3.906250185536919e-06
1.0,5.122453148942441e-05,1.0,1.5153271306189708e-05,6.63777973386459e-05,1.0,1.4980980722612003e-07,1.0,3.512050383847054e-08,1.6336058195065561e-07,3.906250185536919e-06
1.0,2.294182741024997e-05,1.0,1.3146877790859435e-05,3.60887024726253e-05,1.0,1.4901152667334827e-07,1.0,3.502700707258555e-08,1.6238114142197446e-07,3.906250185536919e-06
1.0,3.049947554245591e-05,1.0,2.339971251785755e-05,5.3899184422334656e-05,1.0,1.4901152667334827e-07,1.0,3.4948023142078455e-08,1.6230811183959304e-07,1.9531250927684596e-06
1.0,4.266678661224432e-05,1.0,1.034516935760621e-05,5.301196506479755e-05,1.0,1.4874544262966083e-07,1.0,3.4900192957820764e-08,1.6196091223719122e-07,1.9531250927684596e-06
1.0,2.8910179025842808e-05,1.0,9.414551641384605e-06,3.832472793874331e-05,1.0,1.4874544262966083e-07,1.0,3.4853485431085574e-08,1.619167591115911e-07,1.9531250927684596e-06
